PESTICIDE FORMULATIONS REGISTERED FOR USE IN THE COUNTRY
UNDER THE INSECTICIDES ACT, 1968
                                                          (Updated on 31.03.2026)
                             FORMULATIONS OF PESTICIDES
S. No.   Formulation registered
                                       A. INSECTICIDES
589   Bacillus subtilis 1.5% AS [Strain AMMFA-BS1; (NCMR Accession No. MCC 0581]
590   Bacillius subtilis 5% SP [Strain IPL/BS/102, Accession No. MTCC 25692]
591   Beauveria bassiana 1.15% WP
592   Beauveria bassiana 1.15% WP (1x108/gmmin) Strain BB-ICAR-RJP, Accession No–
      MCC1022
593   Beauveria bassiana 1.15% WP (Strain: BB –5372, own R&D Isolate)
594   Beauveria bassiana 1.15%WP (1x108 /gm min) Strain ICAR, Research Complex, Umiam,
      Meghalaya, Accession No– NAIMCC-F-03045
595   Beauveria bassiana 1.15%WP (1x108/gm min) Accession No –NAIMCC-F- 03045, Strain
      No. NBAIM, MAU.
596   Beauveria bassiana 1.15%WP (1x108/spores/ml) Strain BCRL, Accession No–
      BCRLBbpx-6892
597   Beauveria bassiana 1.0% WP, Strain No: NBRI–9947 (1x108CFU/gm Min.)
598   Beauveria bassiana 1.0% WP (1x109 CFU/gm min), Strain No. IPL/BB/MI/01
599   Beauveria bassiana 1.0% WP (1x108 CFU/gm min), Strain No. SVBPU/CSP/Bb- 10,
      Accession No. ITCC-7520
600   Beauveria bassiana 1.5% AS [Strain AMMFA-BB1, NCMR Accession No. MCC 0579]
601   Beauveria bassiana 5.0% WP, (1x108 CFU/gm min) Strain IARI, Accession No. ITCC-
      7353
602   Beauveria bassiana 5.0% SC, Strain: NBAII, Bangalore, Accession No. ITCC- 7102
603   Beauveria bassiana5.0% AS Strain: BB-AAU-RJP Accession No. MCC–1024
604   Beauveria bassiana 1.15% WP (1x108/gm min) Accession No–NAIMCC-F- 03048
605   Beauveria bassiana 10.00% SC
606   Beauveria bassiana 1.5% Liquid Formulation (CFU count 10X108) Accession No. MTCC-
      5171
607   Beauveria bassiana 1.15%WP (1X106 CFU/gm min)
608   Isaria fumosorosea 5% SC [Strain: ICAR-NBAIR Pfu, Accession No. KC147664]
609   Lecanicillium (Verticillium) lecanii 1.5% AS [Strain AMMFA-VI; (NCMR Accession No.
      MCC 0577]
610   Metarhizium anisopliae 1.5% AS [Strain AMMFA-MAI; (NCMR Accession No. MCC
      0578]
611   Metarhizium anisopliae 1.0%WP (1x108 CFU/gm min) Strain No. IPL/KC/44 (Own R&D
      Isolate), Accession No. 6895
612   Metarhizium anisopliae 1.15% WP (1x108 CFU/gm min) Accession No. MTCC– 5173
614   Metarhizium anisopliae 1.15% WP (1x108CFU/gm min) Strain No. AAI, Allahabad,
      Accession No. NAIMCC-F-03037.
616   Metarhizium anisopliae 10% GR (CFU count 1X 108/gm. min.) Strain BCRL– Me,
      Accession No. ITCC6911
619   Metarhizium anisopliae 2% WP [Strain ICAR-NBAIR, Ma4, Accession No. NAIMCC-F-
      01296)
621   Metarhizium anisopliae1.5% A.S. (CFU count: 1x10^8 /ml Min.) Strain-AMMFAMA1,
      NCMR Accession number MCC 0578 (Bio-pesticide)
622   Nuclear Polyhedrosis Virus of Helicoverpa armigera 0.43%AS (1x109POB/ml)
623   Nuclear Polyhedrosis Virus of Helicoverpa armigera 2.0% AS, Strain No. GBS/HNPV-
      01(1x109POB/ml Min.)
624   Nuclear Polyhedrosis Virus of Helicoverpa armigera 2.0% AS, Strain No. BIL/HV-
      9POB(1x109POB/mlMin.)
625   Nuclear Polyhedrosis Virus of Spodoptera litura 0.5% AS, (1x109POB/ml Min.)
626   Paecilomyces lilacinus 01.15% WP
627   Paecilomyces lilacinus 01.50% LF (CFU count 1x108/ml min.)(Accession No. MTCC No.
      5175, T-Stanes PI-1 Strain)
628   PB Rope L
629   Pseudomonas fluorescens 1.0% WP (Strain No. IIHR-PF-2, Accession No. ITCC- B0034)
630   Pseudomonas fluorescens 1.5% AS [Strain AMMFA-PF1; (NCMR Accession No. MCC
      0580]
631   Pseudomonas fluorescens 5% SP [Strain IPL/PS/102, Accession No. MTCC 25694]
632   Trichoderma harzianum 1.0% WP (Strain No. IIHR-TH-2AccessionsNo.ITCC 6888)
633   Trichoderma harzianum 1.5% WP (Strain No. IIHR-TV-5AccessionsNo.ITCC 6889)
634   Trichoderma harzianum 1.5% AS [Strain AMMFA-TH1; (NCMR Accession No. MCC
      0583]
